Date,Open,High,Low,Close,Volume
2014-01-26,190.23,190.39,179.64,140.3730786104,38736900
2014-02-02,179.605,179.65,175.34,138.0600953512,25559900
2014-02-09,176.02,177.56,172.19,139.2588084389,25234000
2014-02-16,176.97,184.43,176.25,144.3184796736,21312600
2014-02-23,183.18,185.71,182.32,143.6113827619,19774200
2014-03-02,182.82,186.12,182.82,145.4812612617,20734000
2014-03-09,183.33,188.92,182.82,147.453275982,20103400
2014-03-16,187.55,188.45,182.21,143.1556980855,24057200
2014-03-23,182.66,188.7,182.66,146.6597561145,30821100
2014-03-30,187.43,195.63,187.37,149.6295631435,35465000
2014-04-06,191.64,195.13,191.28,150.666638614,29036500
2014-04-13,191.72,199.21,191.57,153.3536068784,30598500
2014-04-20,196.24,198.71,187.01,149.28387132,30565200
2014-04-27,189.8,193.0,189.11,148.9853192907,22312800
2014-05-04,191.14,196.86,190.58,150.4073697464,21195300
2014-05-11,191.05,191.49,186.93,150.2066583145,13925300
2014-05-18,191.12,193.03,185.93,147.8201678468,19407200
2014-05-25,186.61,187.16,184.7,146.9351117792,14066100
2014-06-01,184.8,185.65,182.33,145.6865505412,15895800
2014-06-08,184.76,187.65,183.92,147.2749100909,14243300
2014-06-15,186.22,187.64,180.91,144.2641390041,18143900
2014-06-22,182.4,184.47,181.235,143.4660080861,24186800
2014-06-29,181.92,183.0,179.27,143.5924446671,17703900
2014-07-06,181.33,188.99,180.26,148.9818039354,18382300
2014-07-13,187.61,188.9,186.21,148.5629827606,14983700
2014-07-20,188.55,195.95,188.21,152.1190116032,34217100
2014-07-27,191.3,195.9,189.25,153.6204460035,19580700
2014-08-03,194.3,196.4,188.86,149.471745687,19838900
2014-08-10,189.35,189.95,183.58,148.3527059684,14770900
2014-08-17,187.81,188.88,186.28,148.9488830539,10927100
2014-08-24,188.1,192.07,187.76,151.3574384795,11074800
2014-08-31,191.39,194.133,190.66,152.8598047351,11487700
2014-09-07,192.68,192.97,190.06,151.9854116763,9627700
2014-09-14,190.75,192.78,189.51,152.0490038988,12878100
2014-09-21,191.42,195.0,190.58,154.2111394624,20044000
2014-09-28,193.72,194.14,188.61,151.0792225063,16209901
2014-10-05,188.51,190.85,186.24,149.9743076411,14352364
2014-10-12,189.69,190.89,185.1,147.7962740218,15795271
2014-10-19,185.49,186.65,178.69,144.7120512326,24355568
2014-10-26,166.845,170.331,161.1,128.8378427013,69701346
2014-11-02,162.0,165.59,161.8,130.6820171526,27342119
2014-11-09,164.25,164.54,160.05,129.7075902116,20603321
2014-11-16,161.9,164.49,161.61,131.3802555016,20088151
2014-11-23,164.16,164.97,159.8,128.787224143,22273217
2014-11-30,161.54,163.86,161.01,129.7876220437,17053892
2014-12-07,161.64,164.52,161.35,130.6679721963,20945441
2014-12-14,163.29,163.33,155.33,124.3534606471,23397756
2014-12-21,155.93,160.41,150.5,126.8584569905,34588770
2014-12-28,158.33,163.09,158.33,129.9236761582,12508916
2015-01-04,162.0,163.31,159.45,129.6995870284,15698987
2015-01-11,161.27,161.27,154.03,127.3386479828,24440360
2015-01-18,159.0,159.97,153.74,125.7620208913,23272056
2015-01-25,156.7,157.6,151.07,124.7456166242,31230797
